week 1
orange juice,calcium
salmon,calcium
tofu,calcium
sardines,calcium
,
week 38,omega 6 fatty acids
vegetable oil,omega 6 fatty acids
sesame seeds,omega 6 fatty acids
pin nuts,omega 6 fatty acids
Brazil nuts,omega 6 fatty acids
pecans,omega 6 fatty acids
pumpkin seeds,omega 6 fatty acids
almonds,omega 6 fatty acids
,
week 39,
sunflower,cooper
cashews,cooper
black pepper,cooper
hazelnuts,cooper
,
week 40,
whole grain breads,fiber
tortillas and waffles,fiber
oats,fiber
brown rice,fiber
baked potato wedges with the skins on,fiber
smoothies,fiber
